name,batch,industry,location,website_present,website,description,description_length,logo,video,score
Casetext,Summer 2013,"B2B, Legal","Casetext San Francisco, CA",False,,We make the world's laws free and understandable.,49,,,9
Leaders In Tech,Summer 2015,Unspecified,"Leaders In Tech San Francisco, CA",False,,"Helping founders improve themselves, their companies, and the world.",68,,,9
Quantierra,Winter 2015,"Real Estate and Construction, Housing and Real Estate","Quantierra New York, NY",False,,Sourcing investment real estate,31,,,9
MetricWire,Summer 2014,"Healthcare, Healthcare IT",MetricWire,False,,Mobile surveys for researchers,30,,,9
Billforward,Summer 2014,"Fintech, Payments","Billforward San Francisco, CA",False,,"Subscription billing, rate plan management and analytics as a…",62,,,9
Backpack,Summer 2014,"Consumer, Home and Personal","Backpack San Francisco, CA",False,,Marketplace to get stuff from overseas,38,,,9
Immunity Project,Winter 2014,Unspecified,"Immunity Project San Francisco, CA",False,,The free HIV vaccine.,21,,,9
Dyspatch,Winter 2014,"B2B, Marketing","Dyspatch Victoria, BC",False,,Two products to help everyone email better. Dyspatch.io - Email…,64,,,9
Medmonk,Winter 2012,"Healthcare, Healthcare Services","Medmonk Milpitas, CA",False,,A tool for pharmacists to find funding for patients who are unable to…,70,,,9
CodeNow,Winter 2014,Unspecified,CodeNow,False,,Our mission is to diversify the talent pipeline of students who…,64,,,9
