name,batch,industry,location,website_present,website,detail_url,description,description_length,logo,video,team_size,founders,github,score
Instacart,Summer 2012,"Consumer, Food and Beverage","Instacart San Francisco, CA",True,https://www.instacart.com,https://www.ycombinator.com/companies/instacart,Marketplace for grocery delivery and pickup,43,https://bookface-images.s3.amazonaws.com/small_logos/9750fca21baaee75e035f1baaf58df8e2f5dcc67.png,,,,https://github.com/instacart,5
Groww,Winter 2018,"Fintech, Asset Management","Groww Bengaluru, KA",True,https://groww.in,https://www.ycombinator.com/companies/groww,"Making financial services simple, transparent and delightful.",61,https://bookface-images.s3.amazonaws.com/small_logos/0ae62cb1672e8223d9b0ae2e5b7ecde4ae763c5e.png,,,,https://github.com/Groww,5
Algolia,Winter 2014,"B2B, Engineering, Product and Design","Algolia San Francisco, CA",True,http://www.algolia.com,https://www.ycombinator.com/companies/algolia,A developer-friendly and enterprise-grade search API.,53,https://bookface-images.s3.amazonaws.com/small_logos/3957efb32806e40351fb432ce3c38ae6d22865b3.png,,,,https://github.com/algolia,5
Benchling,Summer 2012,B2B,"Benchling San Francisco, CA",True,http://benchling.com,https://www.ycombinator.com/companies/benchling,Unlocking the power of biotech with modern software for modern science,70,https://bookface-images.s3.amazonaws.com/small_logos/56dfbb621883fb62890bd66d7bd967984b974c12.png,,,,https://github.com/benchling,5
Bird,Summer 2016,"B2B, Engineering, Product and Design","Bird Amsterdam, NH",True,http://bird.com,https://www.ycombinator.com/companies/bird,The world’s largest omnichannel communications platform,55,https://bookface-images.s3.amazonaws.com/small_logos/bdee5b69dd38909ad07702b3aebc29f8d5880658.png,,,,https://github.com/messagebird,5
Brex,Winter 2017,"Fintech, Banking and Exchange","Brex San Francisco, CA",True,https://www.brex.com,https://www.ycombinator.com/companies/brex,"Business accounts, corporate cards, and spend management software.",66,https://bookface-images.s3.amazonaws.com/small_logos/72237ca3782563f0b12ffe1fe9869d878c153ab6.png,,,,https://github.com/brexhq,5
Checkr,Summer 2014,"B2B, Human Resources","Checkr San Francisco, CA",True,http://www.checkr.com,https://www.ycombinator.com/companies/checkr,People infrastructure for the future of work,44,https://bookface-images.s3.amazonaws.com/small_logos/211825b572def7bbe7c182d84f166129bc978b6b.png,,,,https://github.com/checkr,5
Clipboard,Winter 2017,Consumer,"Clipboard San Francisco, CA",True,https://www.clipboardhealth.com/careers,https://www.ycombinator.com/companies/clipboard,Connects workplaces with professionals nearby.,46,https://bookface-images.s3.amazonaws.com/small_logos/a948f29975bf2b196b795d5f07b1c3693862d66e.png,,,,https://github.com/ClipboardHealth,5
Heap,Winter 2013,"B2B, Analytics","Heap San Francisco, CA",True,https://heap.io/,https://www.ycombinator.com/companies/heap,Captures user interactions with no code to generate analytics.,62,https://bookface-images.s3.amazonaws.com/small_logos/0be58a0e5449236d7f3e0dbb741e2aadde9e2881.png,,,,https://github.com/heap,5
EquipmentShare,Winter 2015,"Real Estate and Construction, Construction",EquipmentShare,True,https://www.equipmentshare.com,https://www.ycombinator.com/companies/equipmentshare,Cloud solutions for the construction industry.,46,https://bookface-images.s3.amazonaws.com/small_logos/ad05853522c217d92c372ba8883ff6b45dd83d99.png,,,,https://github.com/EquipmentShare,5
Faire,Winter 2017,"B2B, Retail","Faire San Francisco, CA",True,https://www.faire.com/,https://www.ycombinator.com/companies/faire,The global online platform empowering independent retail.,57,https://bookface-images.s3.amazonaws.com/small_logos/3ccfa8cd66f2a1d09da157956ae8b5686f3b2fe5.png,,,,https://github.com/Faire,5
Fivetran,Winter 2013,"B2B, Infrastructure","Fivetran Oakland, CA",True,http://fivetran.com,https://www.ycombinator.com/companies/fivetran,The leader in automated data movement,37,https://bookface-images.s3.amazonaws.com/small_logos/d6b5710a13038fe1daa1421a986e1f4a7839a65a.png,,,,https://github.com/fivetran,5
Flexport,Winter 2014,"B2B, Supply Chain and Logistics","Flexport San Francisco, CA",True,https://www.flexport.com/careers/jobs/,https://www.ycombinator.com/companies/flexport,Platform for global logistics.,30,https://bookface-images.s3.amazonaws.com/small_logos/897ef3a983ed364ca3122044cf2d2a92e05b34bb.png,,,,https://github.com/flexport,5
Go1,Summer 2015,"B2B, Human Resources","San Francisco, CA",True,https://go1.com,https://www.ycombinator.com/companies/go1,A learning platform that enables you to train your staff or customers.,70,https://bookface-images.s3.amazonaws.com/small_logos/e1004ce910aafa76388e32ce5e89e431e2a22211.png,,,,https://github.com/go1com,5
GOAT Group,Winter 2011,"Consumer, Apparel and Cosmetics","Group Los Angeles, CA",True,https://www.goatgroup.com/,https://www.ycombinator.com/companies/goat-group,"Platform for the greatest products from the past, present and future.",69,https://bookface-images.s3.amazonaws.com/small_logos/4f3a455935f36a6655742aae286b206df1cd13bd.png,,,,https://github.com/goatapp,5
